pH min,pH max,nitrogen min,nitrogen max,phosphorus min,phosphorus max,potasium min,potasium max,calcium min,calcium max,magnesium min,magnesium max,sulphur min,sulphur max,iron min,iron max,zinc min,zinc max,manganese min,manganese max,copper min,copper max,boron min,boron max,temperature min,temperature max,precipitation min,precipitation max,irrigation,region
7.6,7.6,326.14,326.14,47.04,47.04,680,680,75,75,46,46,37,37,2.74,2.74,2.87,2.87,4.81,4.81,1.87,1.87,2.25,2.25,22,32,47.85,47.85,yes,mohol
7.96,7.96,175.62,175.62,38.51,38.51,616,616,35,35,23,23,15.62,15.62,3.23,3.23,0.45,0.45,5.03,5.03,2.38,2.38,1.26,1.26,22,32,47.85,47.85,no,mohol
7.88,7.88,225.79,225.79,31.36,31.36,952,952,65.9,65.9,37.2,37.2,36.15,36.15,2.7,2.7,1.48,1.48,2.2,2.2,2.77,2.77,2.07,2.07,20,30,49.65,49.65,yes,pandharpur
7.85,7.85,175.62,175.62,26.72,26.72,784,784,57.7,57.7,33.4,33.4,16.85,16.85,2.63,2.63,1.21,1.21,1.99,1.99,2.2,2.2,0.72,0.72,20,30,49.65,49.65,no,pandharpur
7.66,7.66,200.7,200.7,24.42,24.42,504,504,60,60,87,87,43,43,4.13,4.13,0.9,0.9,3.59,3.59,1.93,1.93,0.54,0.54,20,30,44.79,44.79,yes,mangalwedha
7.11,7.11,200.7,200.7,17.56,17.56,368,368,45,45,74,74,62.84,62.84,3.81,3.81,1.12,1.12,2.34,2.34,3.28,3.28,0.45,0.45,20,30,44.79,44.79,no,mangalwedha
8.18,8.18,200.7,200.7,27.1,27.1,504,504,80.35,80.35,73,73,41.07,41.07,3.64,3.64,0.9,0.9,3.1,3.1,3.27,3.27,0.99,0.99,20,30,53.85,53.85,yes,akkalkot
7.79,7.79,200.7,200.7,13.3,13.3,504,504,65.77,65.77,78,78,38.47,38.47,4,4,1.21,1.21,3.46,3.46,2.65,2.65,0.36,0.36,20,30,53.85,53.85,no,akkalkot
7.63,7.63,200.7,200.7,16.74,16.74,448,448,63.46,63.46,48.82,48.82,44.92,44.92,5.17,5.17,0.58,0.58,3.59,3.59,2.15,2.15,0.36,0.36,21,31,50.83,50.83,yes,madha
7.95,7.95,125.44,125.44,14.48,14.48,568,568,56.32,56.32,44.53,44.53,45.48,45.48,3.46,3.46,0.4,0.4,3.23,3.23,2.11,2.11,0.36,0.36,22,32,50.83,50.83,no,madha
7.87,7.87,225.79,225.79,25.46,25.46,752,752,65.36,65.36,48.46,48.46,45.23,45.23,3.84,3.84,0.81,0.81,3.73,3.73,3.65,3.65,0.36,0.36,20,30,54.2,54.2,yes,south solapur
7.81,7.81,200.7,200.7,21.97,21.97,696,696,55.26,55.26,37.6,37.6,47.92,47.92,3.02,3.02,0.76,0.76,2.74,2.74,2.83,2.83,0.36,0.36,20,30,54.2,54.2,no,south solapur
7.48,7.48,250.88,250.88,19.79,19.79,224,224,63.12,63.12,37.19,37.19,36.15,36.15,3.81,3.81,1.35,1.35,3.05,3.05,2.84,2.84,0.81,0.81,20,30,54.2,54.2,yes,north solapur
7.8,7.8,200.7,200.7,18.96,18.96,152,152,55.78,55.78,34.28,34.28,39.33,39.33,4,4,0.4,0.4,3.21,3.21,3.28,3.28,0.99,0.99,20,30,54.2,54.2,no, north solapur
7.17,7.17,225.79,225.79,23.07,23.07,336,336,63.56,63.56,42.61,42.61,49.54,49.54,4.31,4.31,0.58,0.58,3.2,3.2,3.22,3.22,0.72,0.72,20,30,36.9,36.9,yes,katmala
7.74,7.74,175.62,175.62,16.05,16.05,672,672,60.32,60.32,33.54,33.54,42.84,42.84,2.7,2.7,0.45,0.45,2.96,2.96,3.05,3.05,0.36,0.36,20,30,36.9,36.9,no,katmala
8.3,8.3,200.35,200.35,36.05,36.05,480,480,57.21,57.21,37.65,37.65,51.77,51.77,3.47,3.47,0.85,0.85,3.48,3.48,3.29,3.29,0.36,0.36,20,30,38.66,38.66,yes,sangola
7.79,7.79,275.97,275.97,42.34,42.34,448,448,51.7,51.7,31.52,31.52,48.54,48.54,2.07,2.07,1.3,1.3,2.77,2.77,2.8,2.8,1.17,1.17,20,30,38.66,38.66,no,sangola
7.6,7.6,150.53,150.53,55.96,55.96,728,728,45.56,45.56,36.46,36.46,44.69,44.69,2.7,2.7,0.49,0.49,2.16,2.16,3.5,3.5,0.63,0.63,21,31,60.18,60.18,yes ,barshi
7.75,7.75,175.62,175.62,58.02,58.02,448,448,35.36,35.36,31.83,31.83,22.46,22.46,3.82,3.82,0.54,0.54,2.43,2.43,3.01,3.01,0.45,0.45,22,32,38.66,38.66,no,sangola
8,8,150.53,150.53,70.64,70.64,616,616,48.62,48.62,49.21,49.21,48.08,48.08,2.68,2.68,1.62,1.62,2.61,2.61,1.59,1.59,0.54,0.54,20,30,46.56,46.56,yes,malshiras
7.9,7.9,175.62,175.62,66.46,66.46,584,584,41.6,41.6,34.86,34.86,39.84,39.84,1.89,1.89,1.61,1.61,2,2,1.05,1.05,1.35,1.35,24,30,46.56,46.56,no,malshiras
